Index,ID,RemoteFrame,DLC,Payload,TimeInterval
0,5DF,0,8,0C00000000000000,0.0007929586064832103
1,31A,0,8,0000000000000000,0.0004271678811246149
2,33F,0,8,0000000000000000,0.00041270888281699894
3,32A,1,0,,0.001359679320934278
4,2D5,0,8,0000000000000000,0.00018531324810945997
5,1CD,0,8,0000000000000000,0.00041438941032526127
6,2C9,0,8,0000000000000000,0.00023403872829352087
7,35E,1,0,,0.000833691822947815
8,280,1,0,,0.000717342008651803
9,2D4,0,8,0000000000000000,0.00019383832246850732
10,213,0,8,0000000000000000,0.00015969240314919368
11,690,0,0,,1.6348755030926977e-05
12,343,1,0,,0.0007177761826083173
13,647,1,0,,0.0004992976699779938
14,690,0,0,,1.8841607166493598e-05
15,17A,1,0,,0.0010539112559280978
16,168,0,8,0000000000000000,2.851846115157384e-05
17,19B,0,8,0000000000000000,0.00015800643136012815
18,45C,1,0,,0.001371021632107979
19,2BA,1,0,,0.002183945338551797
20,26C,1,0,,0.0006335324524654285
21,226,1,0,,0.00182097983792805
22,209,0,8,0000000000000000,0.00013814139609067718
23,690,0,0,,2.8436062482245127e-05
24,27D,0,8,0000000000000000,0.00013813984908192436
25,1B9,0,8,0000000000000000,4.8238023676079056e-05
26,34D,0,8,0000000000000000,0.00017988080787323778
27,513,0,8,0000000000000000,0.0008692927783745825
28,4E8,0,8,0000000000000000,0.0004120660709300314
29,38B,0,8,0000000000000000,0.00027258832702842733
30,230,0,8,0000000000000000,0.00016999436581170346
31,23A,0,8,0000000000000000,0.0001633101426180142
32,518,1,0,,0.0016205209427509817
33,2A2,0,8,0000000000000000,0.0002641731349160831
34,190,0,8,0000000000000000,9.399799220656143e-05
35,1B7,0,8,0000000000000000,0.0002956743088966831
36,28A,1,0,,0.0008619398457724
37,5E9,0,8,0100000000000000,0.0006564354410483259
38,1D3,0,8,0000000000000000,0.00013725980935274455
39,680,0,8,C800000000000000,0.0006736116412296077
40,20F,0,8,0000000000000000,0.00020625079182206012
41,3B9,0,8,0000000000000000,0.00032545657765188326
42,62C,1,0,,0.0005404107960920906
43,1D5,1,0,,0.0008590673480200851
44,3B6,1,0,,0.0006263593298805937
45,48B,0,8,0000000000000000,0.0006061428409976522
46,422,0,8,0000000000000000,0.00020844796075342973
47,280,0,8,0000000000000000,0.0001577704530249855
48,1E6,1,0,,0.001493085025730871
49,1F1,0,8,0000000000000000,0.00017095456736943113
50,1BA,1,0,,0.003077491406149147
51,284,1,0,,0.0025471249213868
52,307,0,8,0000000000000000,0.00035288748235329275
53,463,0,8,0000000000000000,0.0003177004410184113
54,239,0,8,0000000000000000,0.00012691518494885879
55,36C,0,8,0000000000000000,0.000646624430538576
56,5E0,0,8,0100000000000000,0.0009383966478576019
57,1BB,1,0,,0.0020931797170086765
58,690,0,0,,0.00018507755240091642
59,531,0,8,0000000000000000,0.0006721941052093257
60,674,0,8,ED00000000000000,0.00047142771229246493
61,1BA,1,0,,0.000752351471231961
62,353,0,8,0000000000000000,0.0002826988324826907
63,541,0,8,0000000000000000,0.00105551086297852
64,573,0,8,0000000000000000,0.0008125255896913115
65,4D4,0,8,0000000000000000,0.0006557809968455438
66,12B,1,0,,0.0009994074005505481
67,536,0,8,0000000000000000,0.0007893493755625304
68,47D,0,8,0000000000000000,0.00034829810238702413
69,567,0,8,0000000000000000,0.0007514496246294
70,1B5,1,0,,0.0008955733630675925
71,1F5,0,8,0000000000000000,0.00013065585211319232
72,57B,0,8,0000000000000000,0.0008784668377805245
73,22A,0,8,0000000000000000,0.0004281778398388637
74,3B2,0,8,0000000000000000,0.0004716620543683498
75,22A,0,8,0000000000000000,0.0003663311966665299
76,1F6,1,0,,0.0003803983257569877
77,191,1,0,,0.001549887141111754
78,336,1,0,,0.0007265312406435901
79,183,1,0,,0.00043145529688239917
80,1C5,0,8,0000000000000000,0.0001218706348447815
81,1BE,0,8,0000000000000000,0.00016241814332116833
82,66C,0,8,3900000000000000,0.0008482030030506706
83,58A,0,8,0000000000000000,0.0007555039180682007
84,1E5,0,8,0000000000000000,0.0001330549949373107
85,5D0,0,8,0200000000000000,0.0009040465085078309
86,19E,0,8,0000000000000000,0.00031074250140106094
87,103,0,8,0000000000000000,0.0001380159545059408
88,1EE,1,0,,0.0004413521663779309
89,1FD,0,8,0000000000000000,0.00010315735502935166
90,4FC,0,8,0000000000000000,0.0006046393269909152
91,491,0,8,0000000000000000,0.0004295364110255283
92,117,1,0,,0.001694382280651298
93,401,0,2,0000,0.0007553198835269511
94,4C2,0,8,0000000000000000,0.00035058205255939363
95,14A,0,8,0000000000000000,0.00016976991566678622
96,49C,0,8,0000000000000000,0.0003139344267106661
97,12E,1,0,,0.0004357423853883319
98,391,0,8,0000000000000000,0.00041544985507515524
99,131,1,0,,0.0018444255885818428
100,215,1,0,,0.0004340644461447137
101,183,0,2,0000,0.0003385594145364689
102,207,1,0,,0.0007738023540989845
103,1DF,0,8,0000000000000000,0.00011798278616020914
104,31C,0,8,0000000000000000,0.00024236034125140328
105,3A8,0,8,0000000000000000,0.0005947503710401575
106,27C,0,8,0000000000000000,0.0003228551931835012
107,164,0,8,0000000000000000,6.48912010231481e-05
108,479,0,8,0000000000000000,0.0006572999214394725
109,1C7,0,8,0000000000000000,0.0003329337172068167
110,615,0,5,0000000000,0.0012270890087510975
111,0ED,1,0,,0.002551357061331839
112,311,1,0,,0.0014234231025904381
113,488,1,0,,0.002034645665828668
114,3D8,0,8,0000000000000000,0.00044192631487640765
115,23B,0,8,0000000000000000,0.00018224979890176023
116,193,1,0,,0.002041704785768487
117,5C3,1,0,,0.002284031092827328
118,1D2,0,8,0000000000000000,0.0005432568756949341
119,219,0,8,0000000000000000,0.000184294542845724
120,1F7,0,8,0000000000000000,0.00017028060705622877
